UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_diff,low_temp_diff_flag,high_torque_flag,high_tool_wear_flag,ml_risk_score,ml_predicted_failure,ml_risk_tier
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,0,1,0,0.009729263851633443,0,Low
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,0,0,0,0.007428721912889169,0,Low
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,0,0,0,0.010293355875002607,0,Low
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999975,0,1,0,0.021262165965992345,0,Low
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,0,0,0,0.0024304025951309314,0,Low
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,0,0,0,0.007203488334515284,0,Low
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,0,0,0,0.005600873879586219,0,Low
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,0,0,0,0.0024856702980670274,0,Low
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999975,0,0,0,0.0029484893250204167,0,Low
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999975,0,0,0,0.0024856702980670274,0,Low
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,0,0,0,0.0031291132987478387,0,Low
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999975,0,0,0,0.0007160912133348327,0,Low
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999956,0,0,0,0.004941099746586209,0,Low
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999956,0,0,0,0.025406141676050674,0,Low
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999975,0,0,0,0.002023545206221502,0,Low
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999975,0,1,0,0.008293510104983135,0,Low
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999975,0,0,0,0.0029484893250204167,0,Low
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999975,0,1,0,0.015215070683235033,0,Low
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,0,0,0,0.002023545206221502,0,Low
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,0,0,0,0.0015101614800903272,0,Low
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999975,0,1,0,0.012097352706508352,0,Low
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,0,0,0,0.00400431064894422,0,Low
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,0,0,0,0.022325856325737147,0,Low
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,0,1,0,0.013860423051202293,0,Low
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,0,1,0,0.012172341428510598,0,Low
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,0,0,0,0.004961495931493799,0,Low
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,0,1,0,0.018439054629051838,0,Low
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,0,1,0,0.012919251037436378,0,Low
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999975,0,1,0,0.01576590319197655,0,Low
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,0,1,0,0.010618524100375797,0,Low
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,0,1,0,0.01293798441515874,0,Low
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,0,0,0,0.004457769195266976,0,Low
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,0,0,0,0.008594460031211585,0,Low
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999975,0,1,0,0.017329952689455138,0,Low
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,0,0,0,0.006800612125759118,0,Low
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000044,0,0,0,0.9993069179769319,1,Critical
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000044,0,1,0,0.024275372419785547,0,Low
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,0,0,0,0.0016826212845319872,0,Low
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,0,0,0,0.0012426806261862722,0,Low
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,0,0,0,0.007995995077270404,0,Low
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,0,0,0,0.0013121250706307165,0,Low
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,0,0,0,0.0013121250706307165,0,Low
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,0,0,0,0.0013121250706307165,0,Low
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,0,0,0,0.0063472612917664095,0,Low
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,0,1,1,0.08218018634128849,0,Low
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,0,1,1,0.0611602140526877,0,Low
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,0,0,1,0.014702766274841522,0,Low
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,0,0,1,0.015103068863910876,0,Low
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000025,0,0,1,0.03775750212099526,0,Low
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000025,0,0,1,0.009506950382041461,0,Low
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000025,0,0,1,0.03703147555165854,0,Low
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,0,0,1,0.06359587985340645,0,Low
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,0,0,1,0.013635218673719696,0,Low
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,0,0,1,0.008318480012644945,0,Low
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000025,0,1,1,0.9888855118290193,1,Critical
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000025,0,0,1,0.043126715575982105,0,Low
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000044,0,0,1,0.013685238367344954,0,Low
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000044,0,0,1,0.06472578769486903,0,Low
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000025,0,0,1,0.013453223051459885,0,Low
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000025,0,0,1,0.02135062881755953,0,Low
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,0,0,1,0.4895009969731759,0,Medium
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,0,1,1,0.24189905222266497,0,Medium
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,0,0,1,0.7775867156118456,1,High
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,0,1,0,0.045956568437069724,0,Low
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,0,0,0,0.013628407047438399,0,Low
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,0,1,0,0.027722164466579494,0,Low
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,0,1,0,0.02259263720562062,0,Low
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,0,0,0,0.0013065003420473869,0,Low
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,0,0,0,0.0004730136532975404,0,Low
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,0,1,0,0.029366842922454558,0,Low
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,0,0,0,0.003107069002211537,0,Low
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,0,0,0,0.01188285993011166,0,Low
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,0,0,0,0.0004730136532975404,0,Low
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,0,0,0,0.05616025583143042,0,Low
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,0,0,0,0.0015948762793414571,0,Low
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,0,0,0,0.0024628132114940127,0,Low
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,0,0,0,0.0024628132114940127,0,Low
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,0,0,0,0.003420397360189543,0,Low
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999975,0,0,0,0.004617874957769828,0,Low
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999975,0,0,0,0.0004730136532975404,0,Low
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,0,1,0,0.006847833860408352,0,Low
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,0,0,0,0.0015948762793414571,0,Low
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,0,0,0,0.002271699641597496,0,Low
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,0,0,0,0.0004730136532975404,0,Low
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,0,0,0,0.0003330311511103138,0,Low
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,0,0,0,0.0022639252020068544,0,Low
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,0,0,0,0.0022639252020068544,0,Low
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,0,0,0,0.00038829885404641044,0,Low
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,0,0,0,0.00400434001914399,0,Low
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999975,0,0,0,0.0024354752624101477,0,Low
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999975,0,0,0,0.00038829885404641044,0,Low
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999975,0,1,0,0.042792051242376165,0,Low
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,0,0,0,0.00841562041935759,0,Low
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,0,0,0,0.0015966150861542417,0,Low
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0005282813562336371,0,Low
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0022639252020068544,0,Low
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,0,0,0,0.001046555536116245,0,Low
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999975,0,0,0,0.0015101614800903272,0,Low
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0015101614800903272,0,Low
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,0,0,0,0.00169575284693308,0,Low
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,0,0,0,0.010325637171309536,0,Low
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0005282813562336371,0,Low
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,0,0,0,0.00038829885404641044,0,Low
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0056643064201088965,0,Low
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,0,0,0,0.001165701256448813,0,Low
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,0,0,0,0.004582996601335137,0,Low
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0005282813562336371,0,Low
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,0,1,0,0.025611404128955424,0,Low
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0005282813562336371,0,Low
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,0,0,0,0.002032705046090003,0,Low
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000044,0,0,0,0.0010063690056360272,0,Low
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000025,0,1,0,0.12224521164794555,0,Low
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000044,0,0,0,0.0058471745857992105,0,Low
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000025,0,0,0,0.0010063690056360272,0,Low
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000025,0,0,0,0.0010063690056360272,0,Low
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,0,0,0,0.001713233350295648,0,Low
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,0,0,0,0.002938982548378942,0,Low
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,0,0,0,0.0023556479826782307,0,Low
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,0,1,0,0.024838212009559383,0,Low
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,0,1,0,0.031941921303354895,0,Low
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,0,0,0,0.0056643064201088965,0,Low
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,0,0,0,0.007298212838429469,0,Low
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,0,1,0,0.0488612230703678,0,Low
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,0,1,0,0.018626727264404896,0,Low
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,0,1,0,0.06939936473095393,0,Low
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0010861363700657447,0,Low
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0010166919256213002,0,Low
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999956,0,0,0,0.011423217769432609,0,Low
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999956,0,1,1,0.01469984488646167,0,Low
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999956,0,0,1,0.008484792762926349,0,Low
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999975,0,0,1,0.010939937957848861,0,Low
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999975,0,0,1,0.015549588815079535,0,Low
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,0,0,1,0.014166664556935266,0,Low
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,0,1,1,0.009844555559047813,0,Low
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,0,0,1,0.0130856507072647,0,Low
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,0,0,1,0.014488482416746728,0,Low
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,0,0,1,0.019386245198818975,0,Low
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,0,0,1,0.017835425504894236,0,Low
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,0,0,1,0.015307434954537218,0,Low
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,0,0,1,0.01676773050570715,0,Low
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,0,0,1,0.023336338860425347,0,Low
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000044,0,0,1,0.26654568132804407,0,Medium
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,0,0,1,0.4400595809702902,0,Medium
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,0,0,1,0.42140467711638235,0,Medium
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,0,1,1,0.22086381633410299,0,Medium
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,0,1,1,0.9957401180622073,1,Critical
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,0,1,1,0.9802406195016444,1,Critical
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,0,0,0,0.00024187903662245398,0,Low
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0007314883713254541,0,Low
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,0,0,0,0.006929535831487852,0,Low
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999975,0,0,0,0.0011996913611830881,0,Low
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,0,0,0,0.000677959475202142,0,Low
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,0,0,0,0.001524806322048989,0,Low
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,0,1,0,0.964602806965033,1,Critical
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,0,1,0,0.08989263760431014,0,Low
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,0,0,0,0.0007876456115982178,0,Low
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,0,1,0,0.009967806629052245,0,Low
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999975,0,0,0,0.0013222468773443246,0,Low
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,0,0,0,0.000550420700175492,0,Low
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,0,1,0,0.09835509893422412,0,Low
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,0,0,0,0.0055700071449670055,0,Low
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,0,0,0,0.00024187903662245398,0,Low
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,0,0,0,0.0013427528776351625,0,Low
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,0,1,0,0.0218420328418758,0,Low
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000025,0,1,0,0.041982022275133535,0,Low
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000025,0,1,0,0.017278240099362074,0,Low
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000025,0,0,0,0.00213149699572704,0,Low
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,0,1,0,0.013447911907804408,0,Low
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,0,0,0,0.00031885440960196604,0,Low
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,0,0,0,0.0016263084024886354,0,Low
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,0,0,0,0.002507694939345849,0,Low
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,0,1,0,0.07160193799626227,0,Low
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,0,0,0,0.0014975091570927704,0,Low
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,0,0,0,0.00031885440960196604,0,Low
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,0,0,0,0.0011000844322395567,0,Low
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,0,1,0,0.013152831602630042,0,Low
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,0,0,0,0.0016263084024886354,0,Low
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,0,1,0,0.021909111154366296,0,Low
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,0,0,0,0.0021384922876236034,0,Low
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,0,0,0,0.9988415177003807,1,Critical
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,0,0,0,0.002633887960822846,0,Low
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,0,1,0,0.023677746814449657,0,Low
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000044,0,0,0,0.0011000844322395567,0,Low
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,0,0,0,0.00031885440960196604,0,Low
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000044,0,1,0,0.037807214503839476,0,Low
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000044,0,0,0,0.00031885440960196604,0,Low
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,0,0,0,0.00031885440960196604,0,Low
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000025,0,0,0,0.0011000844322395567,0,Low
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000025,0,0,0,0.00031885440960196604,0,Low
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000025,0,0,0,0.001823278099458332,0,Low
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000025,0,1,0,0.014136375781268973,0,Low
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,0,0,0,0.00031885440960196604,0,Low
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,0,1,0,0.9538850279932217,1,Critical
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000044,0,0,0,0.00031885440960196604,0,Low
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000044,0,0,0,0.00031885440960196604,0,Low
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,0,0,0,0.00031885440960196604,0,Low
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,0,0,0,0.00031885440960196604,0,Low
